1~2017~7~maths-07-t1-rev-ep30~30~1~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ කුලකල පූර්ණ සංඛ්‍යා මත ගණිත කර්ම ල සමමිතිය යන ඒකක ආවරණය වේ.
2~2017~7~maths-07-t1-rev-ep31~31~1~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ සාධක හා ගුණාකාර යන ඒකකය ආවරණය වේ.
3~2017~7~maths-07-t1-rev-ep32~32~1~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ සාධක හා ගුණාකාර, දර්ශක , කාලය යන ඒකක ආවරණය වේ.
4~2017~7~maths-07-t1-rev-ep33~33~1~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ කාලය, සමාන්තර සරල රේඛා, සදිශ සංඛ්‍යා, කෝණ යන  ඒකක ආවරණය වේ.
5~2017~7~maths-07-t2-rev-ep31~31~2~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ ස්කන්ධය , දිග , වීජීය ප්‍රකාශන , භාග  , පරිමිතිය , වර්ගඵලය,බහු අස්‍ර, වෘත්ත යන  ඒකක ආවරණය වේ.
6~2017~7~maths-07-t2-rev-ep32~32~2~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ පරිමාව , වෘත්ත , පරිමිතිය , වීජීය ප්‍රකාශන , දශම , භාග, ස්කන්ධය  ඒකක ආවරණය වේ.
7~2017~7~maths-07-t2-rev-ep33~33~2~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ සමමිතිය, කුලක , සාධක, දශම, දර්ශක , වීජීය ප්‍රකාශන, බහු අස්‍ර, සරළ රේඛීය තල රූප, පරිමිතිය, වර්ගඵලය   යන  ඒකක ආවරණය වේ.
8~2017~7~maths-07-t3-rev-ep31~31~3~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ අනුපාත, ඝන වස්තු , දශම , වීජීය ප්‍රකාශන, සාධක හා ගුණාකාර , සරල රේඛීය තල රූප නිර්මාණය , සිදුවීමක වියහැකියාව , පරිමාණය , වර්ගඵලය , පරිමිතිය යන ඒකක ආවරණය වේ.
9~2017~7~maths-07-t3-rev-ep32~32~3~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ අනුපාත, කාටිසීය තලය, ඝන වස්තු, පරිමාණය යන ඒකක ආවරණය වේ.
10~2017~7~maths-07-t3-rev-ep33~33~3~rev~පුනරීක්‍ෂණ~පුනරීක්‍ෂණ~මෙම පුනරීක්ෂණය යටතේ ඝන වස්තු, වර්ගඵලය, ටෙසලාකරණය,කාටිසීය තලය යන ඒකක ආවරණය වේ.
