23~2010~10~ict-10-02-08~8~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~අෂ්ටක සංඛ්‍යා පද්ධති~~~~~~~~
24~2010~10~ict-10-02-10~10~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියක දත්ත නිරුපනය~~~~~~~~
25~2010~10~ict-10-02-11~11~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~දශමය සංඛ්‍යා, ද්විමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
26~2010~10~ict-10-02-13~13~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~සංඛ්‍යා පද්ධති අතර පරිවර්තනය~~~~~~~~
27~2010~10~ict-10-02-14~14~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~ ද්විමය සංඛ්‍යා, දශමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
28~2010~10~ict-10-02-15~15~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~අෂ්ටමය සංඛ්‍යා, ද්විමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
29~2010~10~ict-10-02-16~16~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~ ෂඩ්දශමය සංඛ්‍යා, ද්විමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
30~2010~10~ict-10-02-17~17~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~ අෂ්ටමය සංඛ්‍යා, ෂඩ් දශමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
31~2010~10~ict-10-02-19~19~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~මිනුම් ඒකක සහ ආචයන උපක්‍රම වල ධාරිතාව~~~~~~~~
32~2010~10~ict-10-02-23~23~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක වල දත්ත  නියෝජනය සදහා භාවිතා කරන කේත ක්‍රම~~~~~~~~
33~2010~10~ict-10-02-24~24~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~තොරතුරු හුවමාරුව හදහ වන ඇමරිකානු සම්මත කේත ක්‍රමය~~~~~~~~
34~2010~10~ict-10-02-25~25~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක වල දත්ත නියෝජනය සදහා භාවිතාවන කේත ක්‍රම~~~~~~~~
