1~2018~8~ict-08-t1-rev-ep07~7~1~rev~පුනරීක්ෂණ~පුනරීක්ෂණ~මෙම පුනරීක්ෂණය මගින් සංඛ්‍යා පද්ධති, මෙහෙයුම් පද්ධතියක් භාවිතයෙන් සහ පරිගණකයක් වින්‍යාස කිරීම සහ සිටුවම් කිරීම යන පාඩම් හා සම්බන්ධ අභ්‍යාස සිදු  කිරීම
2~2018~8~ict-08-t2-rev-ep11~11~2~rev~පුනරීක්ෂණ~පුනරීක්ෂණ~මෙම පුනරීක්ෂණයෙන් වදන් සැකසීම හා ක්‍රමලේඛ ගොඩනැගීම යන පාඩම් ආවරණය කිරීම
3~2018~8~ict-08-t3-rev-ep07~7~3~rev~පුනරීක්ෂණ~පුනරීක්ෂණ~මෙම පුනරීක්ෂණය මඟින් භෞතික ආගණනය සඳහා මෘදුකාංග භාවිතය හා අන්තර්ජාලයේ සැරිසරමු යන ඒකක ආවරණය කිරීම
4~2018~8~ict-08-t3-rev-ep08~8~3~rev~පුනරීක්ෂණ~පුනරීක්ෂණ~මෙම පුනරීක්ෂණය මඟින් පළමුවන වාරය, දෙවන වාරය හා තෙවන වාරයට අදාළ සියළුම ඒකක ආවරණය කිරීම
