1~2017~7~geography-07-t1-rev-ep11~11~1~rev~පුනරීක්ෂණ ~පුනරීක්ෂණ ~මෙම පුනරීක්ෂණය මගින් අප ජීවත්වන පෘථිවි ගෝලය හා ශ්‍රී ලංකාවේ අනන්‍යතාව යන පාඩම් ආවරණය කරයි.
2~2017~7~geography-07-t1-rev-ep12~12~1~rev~පුනරීක්ෂණ ~පුනරීක්ෂණ ~මෙම පුනරීක්ෂණය මගින් අප ජීවත්වන පෘථිවි ගෝලය හා ශ්‍රී ලංකාවේ අනන්‍යතාව යන පාඩම් ආවරණය කරයි.
3~2017~7~geography-07-t2-rev-ep08~8~2~rev~පුනරීක්ෂණ ~පුනරීක්ෂණ ~මෙම පුනරීක්ෂණය මඟින් ශ්‍රී ලංකාවේ භූ දර්ශනය යන පාඩම ආවරණය කරයි.
4~2017~7~geography-07-t2-rev-ep09~9~2~rev~පුනරීක්ෂණ ~පුනරීක්ෂණ ~මෙම පුනරීක්ෂණය මඟින් ශ්‍රී ලංකාවේ භූ දර්ශනය යන පාඩම ආවරණය කරයි.
5~2017~7~geography-07-t3-rev-ep09~9~3~rev~පුනරීක්ෂණ ~පුනරීක්ෂණ ~මෙම පුනරීක්ෂණය මඟින් ස්වාභාවික උපද්‍රව සහ ආපදා යන පාඩම ආවරණය කරයි.
