1~2018~8~history-08-t1-l01-ep01~1~1~1~ ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව ~ ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව පිළිබඳව අධ්‍යයනය කිරීම.~ජල තාක්ෂණය, වැවක ඉතිහාසය පිළිබඳව අධ්‍යනය කිරීම.ජල තාක්ෂණය පිළිබඳව අධ්‍යනය කිරීම.
2~2018~8~history-08-t1-l01-ep02~2~1~1~ ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව ~ජල තාක්ෂණය පිළිබඳව අධ්‍යයනය කිරීම.~ජල තාක්ෂණය යටතේ වැව් පිළිබඳව, වැවක් යනූ කුමක් ද යන්න වැවක කොටස් පිළිබඳව අධ්‍යයනය කිරීම.
3~2018~8~history-08-t1-l01-ep03~3~1~1~ ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව ~ ඇළ මාර්ග පිළිබඳව අධ්‍යයනය කිරීම.~ ඇළ මාර්ග තැනීම පිළිබඳව, ඇල මාර්ග තැනීමේ අවශ්‍යතා පිළිබඳව අධ්‍යයනය කිරීම.
4~2018~8~history-08-t1-l01-ep04~4~1~1~ ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව ~ පුනරීක්ෂණ ~අභ්‍යාස සිදු කරමින් ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව පිළිබඳව අධ්‍යයනය කිරීම.
5~2018~8~history-08-t1-l01-ep05~5~1~1~ ශ්‍රී ලංකාවේ සම්ප්‍රදායික තාක්ෂණය හා කලාව ~වාරි අංග පිළිබඳව අධ්‍යයනය කිරීම.~ වැව් තැනීම, ඇළ මාර්ග තැනීම, අමුණු ,වේලි , ජල උද්‍යාන තැනීම, පොකුණු පිළිබඳව අධ්‍යයනය කිරීම.
