1~2018~8~maths-08-t1-l03-ep06~6~1~3~කෝණ ~කෝණ පිලිබදව හැදින්වීම. ~මුලික කෝණ වර්ග, කෝණ නම් කිරීම, කෝණ මනින සම්මත ඒකකය පිළිබඳව අධ්‍යයනය කිරීම.
2~2018~8~maths-08-t1-l03-ep07~7~1~3~කෝණ ~කෝණ අර්ථ දැක්වීම තවදුරටත් ~කෝණ පිලිබදව හදුනා ගැනීම සහ අභ්‍යාස සිදු කරමින් අධ්‍යයනය කිරීම.
3~2018~8~maths-08-t1-l03-ep08~8~1~3~කෝණ ~බද්ධ කෝණ හැදින්වීම.  ~සරල රේඛාවක් මත පිහිටි බද්ධ කෝණ සහ ලක්ෂයන් වටා පිහිටි කෝණ පිලිබදව අධ්‍යයනය කිරීම.
4~2018~8~maths-08-t1-l03-ep09~9~1~3~කෝණ ~ප්‍රතිමුඛ කෝණ හැදින්වීම. ~ප්‍රතිමුඛ කෝණ ආශ්‍රිත ගැටලු විසදමින් ප්‍රතිමුඛ කෝණ අධ්‍යයනය කිරීම.
5~2018~8~maths-08-t1-l04-ep10~10~1~4~සදීශ සංඛ්‍යා~සදීශ සංඛ්‍යා හඳුනා ගැනීම~ධන සංඛ්‍යා, ඍණ සංඛ්‍යා, සංඛ්‍යා රේඛාවක් මත සදිශ සංඛ්‍යා නිරුපණය කිරීම පිලිබදව අධ්‍යයනය කිරීම.
